firm_name,domain,website,phone,address,state,google_rating,rating_count,attorney_count,team_page_found,practice_areas,is_law_firm,faq_present,schema_present,google_ads_pixel,book_call_cta,passes_icp,icp_reason,score,priority_tier,query_practice_area,query_city,source,place_id,first_seen,enrich_status
Sandoval & James Car Accident & Personal Injury Lawyers Austin,sj-lawfirm.com,https://sj-lawfirm.com/austin-texas-car-accident-lawyer-near-me/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite,(512) 382-7707,"4807 Spicewood Springs Rd Bldg. 2, STE 100, Austin, TX 78759",Texas,4.9,2772,,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJ76oaF4zMRIYRqC5ggUkSQrc,2026-06-10,ok
McMinn Personal Injury Lawyers Austin,mcminnlaw.com,https://www.mcminnlaw.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google,(254) 527-6517,"502 W 14th St, Austin, TX 78701",TX,4.9,331,3,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJaYjU5nS1RIYRPdBxZi6syvM,2026-06-10,ok
TK Injury Lawyers: Austin Personal Injury Lawyer,tkinjurylawyers.com,https://www.tkinjurylawyers.com/,(737) 260-7531,"1002 Rio Grande St, Austin, TX 78701",TX,5,222,5,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJx2fWvwy1RIYRhdrREOhFwdM,2026-06-10,ok
Joe Lopez Law: Austin Car Accident Attorney,joelopezlaw.com,https://www.joelopezlaw.com/car-accident-lawyer-austin/,(512) 580-9962,"1502 West Ave, Austin, TX 78701",Texas,5,158,1,True,personal injury,True,True,True,True,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJaZ2CjnO1RIYRLCHaMaROVVE,2026-06-10,ok
FVF Law Firm – Injury & Wrongful Death Lawyers – Austin,fvflawfirm.com,https://www.fvflawfirm.com/?utm_source=GMBlisting&utm_medium=organic,(512) 982-9328,"3101 Bee Caves Rd #301, Austin, TX 78746",TX,4.9,326,,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJbU3NrZdKW4YR5hwwaLKmAr0,2026-06-10,ok
Anderson Injury Lawyers Austin,maafirm.com,https://maafirm.com/austin-personal-injury-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gmb-austin,(512) 883-5182,"811 Nueces St, Austin, TX 78701",TX,5,146,12,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJEQf7mBWfToYRDY2J55WnuJA,2026-06-10,ok
Lorenz & Lorenz,lorenzandlorenz.com,https://www.lorenzandlorenz.com/,(512) 477-7333,"1515 S Capital of Texas Hwy #500, Austin, TX 78746",TX,4.6,1351,6,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJF1DEtpJKW4YREvKHu4t5lIE,2026-06-10,ok
DJC Law,teamjustice.com,https://teamjustice.com/?utm_source=google&utm_campaign=gbp-austin-hq,(512) 969-2115,"1012 W Anderson Ln., Austin, TX 78757",Texas,4.8,1592,10,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJP6rZxuozW4YRO_jS9RcRGlg,2026-06-10,ok
Thomas J. Henry Injury Attorneys,thomasjhenrylaw.com,https://thomasjhenrylaw.com/,(512) 520-0221,"4401 West Gate Blvd Ste 200, Austin, TX 78745",Texas,4.7,3078,250,True,personal injury,True,True,True,True,True,False,headcount_out_of_range(250),0,,personal injury,"Austin, TX",google_places,ChIJ38d49oJLW4YRvHh4NgArX_M,2026-06-10,ok
"Herrman & Herrman, P.L.L.C",herrmanandherrman.com,https://www.herrmanandherrman.com/texas-personal-injury-firm/austin/,(737) 209-7277,"1701 Directors Blvd Ste 820, Austin, TX 78744",TX,4.9,852,2,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJ65a6MLO1RIYRP-mxZNQTMGM,2026-06-10,ok
"Ramos James Law, PLLC",ramosjames.com,https://www.ramosjames.com/?utm_campaign=gmb&utm_content=listing&utm_medium=organic&utm_source=gmb,(512) 881-8260,"2800 S I-35 Frontage Rd Ste 265, Austin, TX 78704",TX,4.9,228,,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJAQDAaA61RIYREbq83bNUMps,2026-06-10,ok
"Treviño Law, PLLC: Austin Truck Accident Lawyer",rjt-law.com,https://www.rjt-law.com/,(512) 225-5000,"1106 W 6th St #211, Austin, TX 78703",Texas,5,345,1,True,personal injury,True,False,True,True,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJnUv943S1RIYR0x8ZP7vP0qM,2026-06-10,ok
Loewy Law Firm,personalinjurylawyersaustintx.com,https://personalinjurylawyersaustintx.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,(512) 280-0800,"7000 N Mopac Expy Ste 200, Austin, TX 78731",TX,5,233,1,True,personal injury,True,False,True,True,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJna_pMga1RIYRojVCu3JrVLU,2026-06-10,ok
The Patel Firm: Austin Car Accident Lawyer,thepatelfirm.com,https://thepatelfirm.com/austin/personal-injury-lawyer/,(512) 887-1447,"611 S Congress Ave #215d, Austin, TX 78704",Texas,4.9,56,6,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJqW2WJW21RIYR3YI5TyyjEh0,2026-06-10,ok
"Byrd Davis Alden & Henrichson, LLP",byrddavis.com,https://byrddavis.com/?utm_campaign=gmb,(512) 607-9983,"8911 N Capital of Texas Hwy Ste 3150, Austin, TX 78759",TX,5,103,4,True,personal injury,True,False,True,True,False,True,,4,A,personal injury,"Austin, TX",google_places,ChIJn6q5eYDKRIYRWAm6yOAna24,2026-06-10,ok
"The Stewart Law Firm, PLLC",thestewartlawfirm.net,https://thestewartlawfirm.net/?utm_source=gmb&utm_medium=organic&utm_content=listing&utm_campaign=local,(512) 326-3200,"4303 Russell Dr Unit B, Austin, TX 78704",TX,4.8,131,1,True,personal injury,True,False,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJRXm-c4u0RIYRKJE-p4Q79HA,2026-06-10,ok
Glen Larson Law Injury Attorneys,glenlarsonlaw.com,https://www.glenlarsonlaw.com/?utm_source=GMB_Austin_&_medium=organic&utm_campaign=GoogleMyBusiness,(512) 883-0277,"5113 Southwest Pkwy Ste 190, Austin, TX 78735",Texas,4.9,127,1,True,personal injury,True,True,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJpT3IzilKW4YRF4j4Phpjefs,2026-06-10,ok
Zinda Law Group,zdfirm.com,https://www.zdfirm.com/tx/austin-personal-injury-lawyer?utm_source=utm_source&utm_medium=GMB&utm_campaign=Zinda%20Law%20Group&utm_id=Zinda-GMB-Profile,(512) 601-4349,"7801 N Capital of Texas Hwy #300, Austin, TX 78731",TX,4.8,522,8,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJq0RwLGDLRIYR_qOqnVFv-s8,2026-06-10,ok
Briggle & Polan – Austin Personal Injury & Car Accident Lawyers,brigglepolan.com,https://www.brigglepolan.com/,(512) 400-3278,"1609 Shoal Creek Blvd Ste 304, Austin, TX 78701",TX,4.8,121,2,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJL_KViAu1RIYRNQUV69nZH0M,2026-06-10,ok
"Wayne Wright, LLP",waynewright.com,https://waynewright.com/austin/,(512) 402-3795,"2550 S I-35 Frontage Rd #152, Austin, TX 78704",TX,4.8,390,,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJ3z4sa6a1RIYR09xyA4zEk4Y,2026-06-10,ok
Slingshot Law - Injury Attorneys,slingshotlaw.com,https://slingshotlaw.com/practice-areas-texas/austin-personal-injury-lawyer/?utm_source=GMB&utm_medium=organic&utm_campaign=Austin,(800) 488-7840,"1802 Lavaca St, Austin, TX 78701",TX,4.9,158,4,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJjd8eOjrLRIYR44ADTqlMZOw,2026-06-10,ok
Batrice Law Firm,batricelawfirm.com,https://batricelawfirm.com/,(512) 580-8247,"8030 N Mopac Expy Ste 300, Austin, TX 78759",TX,4.9,253,7,True,personal injury; criminal defense,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJ22yANYZKW4YRqEBXP3p6mFs,2026-06-10,ok
Shamieh Law - Accident & Injury Lawyers,shamiehlaw.com,https://shamiehlaw.com/austin/?utm_source=google&utm_medium=organic&utm_campaign=gbp-austin,(254) 459-3591,"3800 N Lamar Blvd #200, Austin, TX 78756",,4.9,98,,False,personal injury,True,False,False,False,False,True,,3,B,personal injury,"Austin, TX",google_places,ChIJbyHof83LRIYRuYRKa4m-MZI,2026-06-10,ok
Sanchez Law,sanchezlawtx.com,https://sanchezlawtx.com/,(512) 400-2420,"4360 S Congress Ave Ste. 111, Austin, TX 78745",TX,5,165,1,True,personal injury,True,False,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJTcgkKZpLW4YRuJbxEJCGEPs,2026-06-10,ok
Funk & Associates,funklaw.com,https://www.funklaw.com/,(512) 472-3865,"1016 La Posada Dr Ste 285, Austin, TX 78752",TX,4.9,233,,True,personal injury,True,True,True,False,False,True,,1,C,personal injury,"Austin, TX",google_places,ChIJHXPymhrKRIYR2g-VnTnHPgY,2026-06-10,ok
Daniel Stark Injury Lawyers,danielstark.com,https://www.danielstark.com/austin/,(512) 474-8686,"8627 N Mopac Expy Suite 425, Austin, TX 78759",Texas,4.8,438,,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJHRqvPnW1RIYROYGI3hyo0fs,2026-06-10,ok
Amaro Law Firm - Austin,amarolawfirm.com,https://amarolawfirm.com/austin-personal-injury-lawyers/?utm_source=GBP&utm_medium=Organic&utm_campaign=Austin,(512) 881-8224,"13915 N Mopac Expy Ste 315, Austin, TX 78728",Texas,4.9,142,,False,other,True,False,False,False,False,False,practice_area_mismatch,0,,personal injury,"Austin, TX",google_places,ChIJI4yJGzHPRIYRfP3a6Zx27Tc,2026-06-10,ok
CPM Injury Lawyers: Austin Personal Injury Lawyer,caglefirm.com,https://www.caglefirm.com/,(512) 371-6101,"9433 Bee Caves Rd Ste 1-140, Austin, TX 78733",TX,4.9,116,,True,personal injury,True,False,False,False,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJJahbVhpLW4YRuQI4yZ-dI_U,2026-06-10,ok
"Levine, Wenholz, and Smith, PLLC",injurylawyeraustintx.com,https://www.injurylawyeraustintx.com/,(512) 982-1510,"7200 N Mopac Expy #420, Austin, TX 78731",Texas,4.8,126,,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJ462kmObKRIYR5pnlLLvqb5s,2026-06-10,ok
Sneed & Mitchell LLP - Trucking Accident & Wrongful Death Lawyers®,sneedmitchell.com,https://www.sneedmitchell.com/,(512) 253-4440,"5540 N Lamar Blvd Ste #46, Austin, TX 78756",Texas,5,79,6,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJ4fucwiTLRIYRRBI8X0MOx-0,2026-06-10,ok
Angel Reyes & Associates,reyeslaw.com,https://www.reyeslaw.com/austin/car-accident-lawyers/?utm_source=google&utm_medium=organic&utm_campaign=local_listing_austin_gbp,(512) 975-2489,"3420 Executive Center Dr #163, Austin, TX 78731",TX,4.9,811,6,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJRyuvcNzLRIYRqyep2n2r4_M,2026-06-10,ok
Williams Caputo Injury Lawyers,williamscaputo.com,https://www.williamscaputo.com/?utm_campaign=gmb&utm_medium=gbp&utm_source=google&utm_campaign=austin,(512) 842-6554,"206 Wild Basin Rd S Building A, Suite 204, Austin, TX 78746",Texas,5,323,6,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJn_oaYtekFIERZOiK3T61e3w,2026-06-10,ok
The Sutton Law Firm,willsuttonlaw.com,https://willsuttonlaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,(512) 782-0467,"3660 Stoneridge Rd Ste D102, Austin, TX 78746",Texas,5,264,1,True,personal injury; employment,True,False,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJd0BRs5Q3W4YRfPADZ7asV1I,2026-06-10,ok
"Texas Law Guns, Injury & Accident Lawyers",vblawgroup.com,https://www.vblawgroup.com/austin/personal-injury-lawyer/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-listing-austin,(844) 771-1921,"2211 S Interstate 35 #109, Austin, TX 78741",Texas,5,160,12,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJqXGXup21RIYR6uk0Jy4LtVY,2026-06-10,ok
Kelley Wolff Injury Attorneys | Austin Accident Lawyers,texasinjuryaccidentlawyers.com,https://texasinjuryaccidentlawyers.com/,(512) 470-6068,"17800 Hamilton Pool Rd Ste. 203, Austin, TX 78738",TX,5,55,2,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJAQAk91I_W4YR0c1ZQu7wpWA,2026-06-10,ok
The Sharp Firm,sharpfirm.com,https://www.sharpfirm.com/,(512) 407-8800,"7800 N Mopac Expy Ste 200, Austin, TX 78759",TX,4.9,96,2,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJZcwx3AnLRIYR0qE4U_eFx8E,2026-06-10,ok
The Doan Law Firm,thedoanlawfirm.com,https://www.thedoanlawfirm.com/areas/austin-tx/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(512) 806-0000,"100 Congress Ave. Ste 2000, Austin, TX 78701",TX,5,54,5,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJpXYDugXLRIYRAnSQVZxfm9I,2026-06-10,ok
Bonilla Law Firm,bonillainjurylaw.com,https://www.bonillainjurylaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(512) 441-1111,"3910 S I-35 Frontage Rd #200, Austin, TX 78704",Texas,4.9,59,8,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJ0Rvolo-0RIYRKdCfj5uulSo,2026-06-10,ok
Guajardo Injury Law,guajardoinjurylaw.com,https://guajardoinjurylaw.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-website-austin,(512) 817-2325,"5900 Balcones Dr Ste 110, Austin, TX 78731",TX,5,109,3,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJY3F4JinLRIYReqL-zibnRoM,2026-06-10,ok
DJC Law Attorneys,teamjustice.com,https://teamjustice.com/south-austin-personal-injury-lawyers/?utm_source=google&utm_campaign=gbp-austin-south,(512) 881-7882,"5717 S I-35 Frontage Rd, Austin, TX 78744",Texas,4.7,104,10,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJXc7lDhWzRIYRw2iJ0iSIras,2026-06-10,ok
Levine Injury Law,levineinjurylaw.com,http://www.levineinjurylaw.com/,(512) 476-9800,"7000 N Mopac Expy Suite 190, Austin, TX 78731",TX,5,92,1,True,personal injury,True,False,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJPWLoDgm1RIYROTQ0cyP1N1Y,2026-06-10,ok
Butler Injury Law - Personal Injury Attorney,butlerinjury.com,http://butlerinjury.com/?utm_campaign=gmb,(512) 956-9610,"13341 W U.S. 290 Bldg 2, Austin, TX 78737",Texas,4.9,58,1,True,personal injury,True,True,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJc07fWWtLW4YRNIhVdRS8HMo,2026-06-10,ok
The Traub Law Office P.C.,austinaccidentlawyer.com,https://austinaccidentlawyer.com/?utm_source=gmb&utm_medium=organic,(512) 246-9191,"8701 Shoal Creek Blvd #401, Austin, TX 78757",TX,5,62,1,True,personal injury,True,True,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJ50dYpQ7LRIYRKOAtDPaHjXY,2026-06-10,ok
Cap City Injury Attorneys,capcityinjuryattorneys.com,http://capcityinjuryattorneys.com/,(512) 612-3110,"702 Rio Grande St Ste 302, Austin, TX 78701",TX,5,15,2,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJi0JGWIy1RIYRUus7gwSa3ag,2026-06-10,ok
"Winckler, Harvey & McConnell, LLP",wincklerharvey.com,https://www.wincklerharvey.com/?npcmp=dir:local:2491927:78746,(512) 593-7399,"6836 Bee Caves Rd Bldg 3, Suite 333, Austin, TX 78746",TX,4.3,71,4,True,personal injury; other,True,False,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJQ2y8tZtKW4YRlkh3Bor4mlA,2026-06-10,ok
Karns & Karns Personal Injury and Accident Attorneys,karnsandkarns.com,https://www.karnsandkarns.com/locations/austin/,(512) 877-2024,"2512 S I-35 Frontage Rd #350, Austin, TX 78704",TX,5,19,,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJue2mbHi1RIYRWDo89QlKuYo,2026-06-10,ok
The Carlson Law Firm | Injury Lawyers,carlsonattorneys.com,https://www.carlsonattorneys.com/austin?utm_source=Google+Business+Page&utm_medium=GMB&utm_campaign=North+Austin&utm_id=North+Austin,(512) 346-5688,"11606 N Interstate Hwy 35, Austin, TX 78753",TX,4.6,140,,True,personal injury; criminal defense; family law,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJv5fL_QTLRIYRyRQfztt18o0,2026-06-10,ok
Carabin Shaw PC,carabinshaw.com,http://www.carabinshaw.com/,(512) 832-1101,"1301 W 25th St Ste 406#A, Austin, TX 78705",Texas,4.8,38,1,True,personal injury,True,False,True,True,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJ43ew3Hy1RIYRqiKh4nBtQCQ,2026-06-10,ok
"Glasheen, Valles & Inderman Injury Lawyers",gvilaw.com,https://gvilaw.com/our-office-locations/austin/,(512) 643-5500,"1703 West Ave, Austin, TX 78701",TX,5,53,10,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJW2_Orwq1RIYRXJrlnMMSOac,2026-06-10,ok
The Martinez Law Firm PLLC,themartinezlawfirm.com,http://www.themartinezlawfirm.com/,(512) 444-0025,"2101 S I-35 Frontage Rd Ste 100, Austin, TX 78741",Texas,4.8,170,1,True,personal injury,True,False,True,True,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJL-_gKlm0RIYRUmfiwB4cgYQ,2026-06-10,ok
Austin Car Accident and Personal Injury Lawyers – Sutliff & Stout,sutliffstout.com,https://www.sutliffstout.com/austin-personal-injury-lawyer/?utm_source=gbp&utm_campaign=Austin+TX,(512) 842-6646,"9433 Bee Caves Rd Bldg III Suite 200, Austin, TX 78733",TX,5,21,,True,personal injury,True,True,False,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJvQwzuAm1RIYRay8a2gvniL4,2026-06-10,ok
The Law Office of David J. Lopez PLLC,davidjlopezlaw.com,http://www.davidjlopezlaw.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb,(512) 400-0601,"1704 1/2 S Congress Ave Ste. M, Austin, TX 78704",TX,5,40,1,True,personal injury,True,False,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJVVVVVQq1RIYRCdZnLW5MVXo,2026-06-10,ok
Breeland Injury Law,breelandinjurylaw.com,https://breelandinjurylaw.com/,(512) 764-3380,"901 S MoPac Expy Bldg 1, Suite 300, Austin, TX 78746",TX,5,40,1,True,personal injury,True,False,True,True,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJX9TnBTZLW4YRXxnnPxRw4AQ,2026-06-10,ok
The Carlson Law Firm | Injury Lawyers,carlsonattorneys.com,https://www.carlsonattorneys.com/locations/south-austin?utm_source=Google+Business+Page&utm_medium=GMB&utm_campaign=South+Austin&utm_id=South+Austin,(512) 804-7277,"135 W Slaughter Ln Suite A, Austin, TX 78748",TX,4.6,205,,True,personal injury; criminal defense; family law,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJw86UuoS0RIYR9HfJvRbzv_M,2026-06-10,ok
"Howry, Breen & Herman, LLP",howrybreen.com,https://www.howrybreen.com/?utm_source=GMB&utm_medium=organic&utm_campaign=austin,(512) 430-4844,"1900 Pearl St, Austin, TX 78705",TX,5,55,7,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJf4JJpnvWRIYRgqe9sVTSN-E,2026-06-10,ok
Daniel Stark Injury Lawyers,danielstark.com,https://www.danielstark.com/south-austin/,(512) 240-9655,"1811 W Ben White Blvd Ste 101, Austin, TX 78704",Texas,4.8,118,,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJJ9ZlVh9LW4YRz3X8WYqFoCE,2026-06-10,ok
Reyna Law Firm,reynainjurylaw.com,https://www.reynainjurylaw.com/austin,(512) 765-3181,"2025 Guadalupe St #260, Austin, TX 78705",,5,32,,False,personal injury,True,False,False,False,False,True,,3,B,personal injury,"Austin, TX",google_places,ChIJqUSe2Qu1RIYRxGJ9GhqkiME,2026-06-10,ok
"Feltoon Law, PC",feltoonlaw.com,https://feltoonlaw.com/,(737) 281-9100,"2520 S I-35 Frontage Rd #200, Austin, TX 78704",TX,5,42,1,True,personal injury,True,True,True,True,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJJ1TsrtSupyMRfeX--D3XJtU,2026-06-10,ok
Shaw Cowart LLP,shawcowart.com,https://www.shawcowart.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(512) 499-8900,"1301 W 25th St #406, Austin, TX 78705",Texas,4.6,131,3,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJHfewg3G1RIYRUlq7iTjOJ3Y,2026-06-10,ok
"The Zimmerman Law Firm, P.C.",thezlawfirm.com,https://www.thezlawfirm.com/austin-personal-injury-lawyer/?utm_source=gmb&utm_medium=local&utm_campaign=austin,(512) 883-9370,"809 S Lamar Blvd Ste H, Austin, TX 78704",TX,4.9,44,8,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJQZ3H1b5KW4YR66URmB_U2PI,2026-06-10,ok
Kelly Law Team Phoenix,jkphoenixpersonalinjuryattorney.com,https://www.jkphoenixpersonalinjuryattorney.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-phoenix,(602) 283-4122,"1 E Washington St #1520, Phoenix, AZ 85004",AZ,5,350,6,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJP6hZlSESK4cRZW6zfd58djA,2026-06-10,ok
Shapiro Law Team,shapirolawaz.com,https://shapirolawaz.com/?utm_campaign=gmb&utm_medium=local&utm_source=gmb,(480) 680-0783,"4203 E Indian School Rd #300, Phoenix, AZ 85018",AZ,5,855,14,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Phoenix, AZ",google_places,ChIJzevGAq4LK4cRoOl6cmFDw7w,2026-06-10,ok
Lloyd Baker Injury Attorneys,lloydbakerinjuryattorneys.com,https://lloydbakerinjuryattorneys.com/phoenix-az/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(480) 526-4924,"4428 N 12th St, Phoenix, AZ 85014",Arizona,4.9,844,,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJUfJhKl4SK4cRxD6GXSNY6Bg,2026-06-10,ok
Phillips Law Group - Injury Lawyers,phillipslaw.com,https://phillipslaw.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Phoenix&utm_id=GBP_Phoenix,(602) 288-1591,"3101 N Central Ave #1500, Phoenix, AZ 85012",AZ,4.8,2524,20,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Phoenix, AZ",google_places,ChIJayKEyV8SK4cRvCr4be5bMvo,2026-06-10,ok
"National Injury Attorneys, LLC",nationalinjuryattorneys.com,https://nationalinjuryattorneys.com/phoenix-personal-injury-lawyer/?utm_source=organic&utm_medium=gbp,(602) 693-1910,"3030 N Central Ave Ste 1109, Phoenix, AZ 85012",Arizona,5,635,3,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Phoenix, AZ",google_places,ChIJQYka4GQhF6IRhISqnoLpF1s,2026-06-10,ok
Hirsch & Lyon,hirschandlyonaccidentlaw.com,https://hirschandlyonaccidentlaw.com/?source=GoogelBusinessProfile&utm_source=GMBlisting&utm_medium=organic,(602) 535-1900,"1212 E Osborn Rd #200, Phoenix, AZ 85014",Arizona,4.9,335,2,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Phoenix, AZ",google_places,ChIJE8Cjr30SK4cRhBKrHOnRi3w,2026-06-10,ok
Sargon Law Group,sargonlawgroup.com,https://www.sargonlawgroup.com/?utm_source=google&utm_medium=organic&utm_campaign=gmblisting,(623) 225-5635,"4105 N 20th St Ste 260, Phoenix, AZ 85016",Arizona,4.9,406,10,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJs1AiB2wSK4cRMpbDvPyw4dY,2026-06-10,ok
